/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0168.cnf: SAT (wall=2.10ms, cpu=0.629ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0169.cnf: SAT (wall=2.06ms, cpu=0.620ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-017.cnf: SAT (wall=2.24ms, cpu=0.646ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0170.cnf: SAT (wall=2.17ms, cpu=0.615ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0171.cnf: SAT (wall=2.07ms, cpu=0.614ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0172.cnf: SAT (wall=2.16ms, cpu=0.640ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0173.cnf: SAT (wall=2.13ms, cpu=0.627ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0174.cnf: SAT (wall=2.12ms, cpu=0.621ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0175.cnf: SAT (wall=2.10ms, cpu=0.608ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0176.cnf: SAT (wall=2.09ms, cpu=0.628ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0177.cnf: SAT (wall=2.07ms, cpu=0.609ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0178.cnf: SAT (wall=2.09ms, cpu=0.616ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0179.cnf: SAT (wall=2.06ms, cpu=0.609ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-018.cnf: SAT (wall=2.18ms, cpu=0.627ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0180.cnf: SAT (wall=2.13ms, cpu=0.622ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0181.cnf: SAT (wall=2.10ms, cpu=0.603ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0182.cnf: SAT (wall=2.06ms, cpu=0.614ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0183.cnf: SAT (wall=2.17ms, cpu=0.646ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0184.cnf: SAT (wall=2.05ms, cpu=0.600ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0185.cnf: SAT (wall=2.02ms, cpu=0.600ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0186.cnf: SAT (wall=2.10ms, cpu=0.608ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0187.cnf: SAT (wall=2.03ms, cpu=0.612ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0188.cnf: SAT (wall=2.14ms, cpu=0.636ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0189.cnf: SAT (wall=2.11ms, cpu=0.642ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-019.cnf: SAT (wall=2.07ms, cpu=0.605ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0190.cnf: SAT (wall=2.10ms, cpu=0.620ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0191.cnf: SAT (wall=2.11ms, cpu=0.633ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0192.cnf: SAT (wall=2.08ms, cpu=0.626ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0193.cnf: SAT (wall=2.15ms, cpu=0.619ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0194.cnf: SAT (wall=2.06ms, cpu=0.609ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0195.cnf: SAT (wall=2.10ms, cpu=0.627ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0196.cnf: SAT (wall=3.55ms, cpu=0.868ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0197.cnf: SAT (wall=4.11ms, cpu=1.056ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0198.cnf: SAT (wall=3.87ms, cpu=0.969ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0199.cnf: SAT (wall=4.16ms, cpu=1.055ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-02.cnf: SAT (wall=3.92ms, cpu=0.931ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-020.cnf: SAT (wall=4.27ms, cpu=1.069ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0200.cnf: SAT (wall=3.05ms, cpu=0.849ms)
/Users/evanbehrendt/sandbox/purdue/dpll_sat_solver/satlib_20_91/uf20-0201.cnf: SAT (wall=3.21ms, cpu=0.835ms)
